 Supply ID, Name, Category
865281830,High-density foam roll,Upholstery
1613597488,Stainless steel screws #10,Hardware
1066161349,Water-based wood varnish,Finishes
443564170,Nylon upholstery thread,Upholstery
281875912,Solid oak lumber boards,Lumber
438175963,Tempered glass sheet 36x36,Glass
825112616,Metal corner L-brackets (8-pack),Hardware
347522220,Outdoor weatherproof fabric,Upholstery
393665400,Plastic dowels assorted pack,Hardware
1483518043,Memory foam cushion cores,Upholstery
124453581,Steel tubing 1-inch diameter,Metal
864641878,Plastic resin pellets,Plastics
1412888754,Sheet metal aluminum,Metal
277169733,Decorative veneer sheets,Finishes
6556791,Plywood sheets 4x8,Lumber
1441626385,Liquid wood glue (gallon),Adhesives
1096334876,Decorative metal handles (set of 4),Hardware
911313338,Protective furniture wax polish,Finishes
948819940,Upholstery staple kit,Upholstery
1021491432,Wood stain dark walnut,Finishes
2014933884,Metal hinge pack universal,Hardware
1981452858,Elastic webbing strips,Upholstery
1620499631,Heavy-duty zippers (5-pack),Upholstery
1318207138,Reinforced cardboard packaging,Packaging
667636353,High-tensile rivets (100-pack),Hardware
1923555322,Spray adhesive multi-purpose,Adhesives
1394778160,Rubber foot pads (set of 4),Hardware
1979897806,Velcro strips heavy-duty,Fasteners
2125926096,Glass cutter scoring tool,Glass
1355704127,Metal paint matte black,Finishes
1302825882,Ceramic tile sheets,Materials
266320971,Beech lumber boards,Lumber
992524831,Stainless nuts and washers (200-pack),Hardware
279931313,Galvanized steel chain loops,Hardware
20419639,Powder coat paint white,Finishes
253759312,Cork sheets 4mm,Materials
1967010845,Rubber grommets assorted pack,Hardware
92100576,Cotton muslin fabric rolls,Upholstery
852554913,High-gloss lacquer spray,Finishes
970241661,Composite MDF boards 4x8,Lumber
722400343,PVC edge banding roll,Finishes
1817874290,Brass decorative tacks (50-pack),Hardware
568360026,Thermal insulating foam board,Insulation
1691765554,Wire mesh 12x24 sheets,Metal
2065895394,Heavy-duty cardboard corner protectors,Packaging
713530807,Silicone adhesive sealant,Adhesives
1851608041,Decorative leather strips,Upholstery
908493670,Rubberized paint coating,Finishes
102342056,Steel angle iron bars,Metal
1885213757,Plastic laminate sheets,Finishes
1664567642,Heat-reflective paint additive,Finishes
1098168819,Threaded insert nuts (50-pack),Hardware
1076801555,Triple-stitched canvas fabric,Upholstery
915985378,Eco-friendly water-based primer,Finishes
1747590693,Self-adhesive felt pads,Hardware
198827228,Nonskid silicone mats,Protective
1967004259,Dye-sublimation upholstery prints,Upholstery
660708528,Solid brass handle set (4-pack),Hardware
202823918,Steel reinforcement rods,Metal
1209861744,Velvet fabric premium grade,Upholstery
1654685422,Powdered wood filler,Adhesives
1005393327,UV-cured resin coating,Finishes
1299113464,Fiberboard back panel sheets,Lumber
1985826845,Synthetic rattan spool,Upholstery
1936270930,Magnetic cabinet latch kit,Hardware
