 ID, Type, Size, Tare, Max Weight, Status, Last Inspection
1430378783,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
2022528239,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
65597860,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
569149869,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
432911306,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
1064332384,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
2132909713,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
60651773,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
1796382062,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
1210391351,Standard,40ft,3.7,26.3,Available,2023-12-01 00:00:00 UTC
