 ID, Division ID, Start Location ID, End Location ID, Type, Length, Max Speed, Gauge, Electrified, Last Inspected At, Condition
2084012980,560843408,1408913944,1137426217,Main,18.81678080024557,95,1.435,TRUE,2024-12-06 17:24:08.673803 UTC,Good
1127686053,560843408,1137426217,1408913944,Main,37.98183242935619,60,1.435,FALSE,2024-11-12 06:47:14.674065 UTC,Excellent
1701720615,560843408,1408913944,1144840752,Branch,35.21320554735976,49,1.435,FALSE,2024-12-08 22:42:27.674189 UTC,Good
1841098676,560843408,1144840752,1886397906,Branch,1.997657020587532,68,1.435,FALSE,2025-01-05 16:02:54.674315 UTC,Fair
101151548,795226445,2029903910,1137426217,Branch,23.07181744523766,76,1.435,FALSE,2024-11-26 11:10:00.703381 UTC,Good
466549540,795226445,1137426217,1408913944,Yard,5.12854059046218,105,1.435,TRUE,2024-12-08 20:01:08.703558 UTC,Poor
1176886447,795226445,1408913944,1886397906,Branch,49.85486053833357,40,1.435,FALSE,2025-01-15 09:52:42.703722 UTC,Fair
1252858738,795226445,1886397906,1144840752,Yard,1.2893563216361417,95,1.435,FALSE,2025-01-05 22:32:29.703884 UTC,Excellent
800503653,795226445,1144840752,2029903910,Branch,35.207061380596585,108,1.435,FALSE,2025-01-21 02:25:56.704046 UTC,Good
1635406709,795226445,2029903910,1144840752,Main,36.09572964539831,58,1.435,TRUE,2024-12-29 11:48:58.704437 UTC,Good
673941808,795226445,1144840752,1144840752,Branch,31.78913452860043,80,1.435,FALSE,2024-12-19 07:16:49.704617 UTC,Good
1504619318,795226445,1144840752,1144840752,Main,28.895639861256267,73,1.435,FALSE,2025-01-11 02:24:41.705755 UTC,Fair
1584739377,1657038269,1886397906,1137426217,Yard,24.958158024952862,39,1.435,TRUE,2024-10-27 04:24:15.729805 UTC,Good
172888280,1657038269,1137426217,1886397906,Main,17.996145583161727,116,1.435,TRUE,2024-12-11 02:40:53.729955 UTC,Excellent
1607420952,1657038269,1886397906,1144840752,Yard,44.10459307943094,42,1.435,FALSE,2024-12-13 16:46:47.730086 UTC,Excellent
1819584490,1657038269,1144840752,2029903910,Branch,32.62369434896828,95,1.435,TRUE,2025-01-16 21:21:25.730222 UTC,Excellent
728842059,1657038269,2029903910,1408913944,Branch,35.03427029564268,73,1.435,FALSE,2025-01-17 05:13:42.730354 UTC,Excellent
1627724595,1657038269,1408913944,1144840752,Siding,13.16544393569932,53,1.435,FALSE,2024-12-25 20:45:00.730479 UTC,Excellent
1110445270,1657038269,1144840752,1144840752,Branch,48.5205416538644,108,1.435,FALSE,2024-11-21 19:54:17.7306 UTC,Excellent
1169594979,1657038269,1144840752,1144840752,Main,1.7352876138197648,65,1.435,FALSE,2024-11-26 17:54:53.730723 UTC,Excellent
1840844647,1657038269,1144840752,1144840752,Main,18.657401165530086,76,1.435,FALSE,2024-12-01 01:04:59.730844 UTC,Excellent
1098092552,36317215,1886397906,1886397906,Branch,14.39838960678634,91,1.435,TRUE,2024-10-27 12:14:05.75204 UTC,Good
2071969213,36317215,1886397906,1137426217,Siding,46.30783872291426,30,1.435,TRUE,2024-12-31 04:41:55.752172 UTC,Good
1411109697,36317215,1137426217,1408913944,Yard,34.29792985433096,123,1.435,FALSE,2024-11-09 08:05:41.752291 UTC,Good
1195671704,36317215,1408913944,2029903910,Siding,19.888082149076034,36,1.435,FALSE,2024-12-17 00:16:32.752407 UTC,Excellent
1380155750,36317215,2029903910,1144840752,Branch,25.448551449582087,42,1.435,FALSE,2025-01-13 01:05:26.752524 UTC,Good
1885839904,36317215,1144840752,1144840752,Main,33.51936794684126,101,1.435,TRUE,2024-11-20 07:57:38.752636 UTC,Excellent
1152174649,1944267253,1408913944,2029903910,Siding,19.694896952459597,122,1.435,TRUE,2025-01-02 11:12:53.773598 UTC,Good
2018849012,1944267253,2029903910,1137426217,Main,26.617411453669853,53,1.435,FALSE,2024-11-26 18:08:02.773758 UTC,Good
516102533,1944267253,1137426217,1144840752,Siding,24.30656525963945,55,1.435,FALSE,2025-01-08 08:45:51.773898 UTC,Good
1568206367,1944267253,1144840752,1886397906,Main,49.088768134376465,34,1.435,TRUE,2024-12-20 06:36:08.774033 UTC,Good
1145568599,1944267253,1886397906,1408913944,Yard,19.383882067698575,110,1.435,FALSE,2024-10-28 10:14:19.774166 UTC,Excellent
1896370420,1944267253,1408913944,1144840752,Main,21.376844088120954,121,1.435,FALSE,2025-01-02 19:06:13.774301 UTC,Fair
